RK,TEAM,GP,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%
279,Jackson State,34,68.2,24.9-61.6,0.404,6.6-21.6,0.304,11.9-18.8,0.631
279,IUPUI,32,68.2,24.5-58.1,0.422,5.7-17.2,0.333,13.4-19.0,0.705
281,Alabama A&M,29,68.1,23.5-56.3,0.417,6.0-20.7,0.292,15.1-22.1,0.684
281,San Diego State,34,68.1,22.9-54.5,0.42,5.8-18.1,0.319,16.5-24.0,0.688
281,Maryland-Eastern Shore,32,68.1,23.7-53.6,0.443,6.3-19.1,0.33,14.3-20.3,0.708
284,Northern Iowa,34,68,23.6-51.5,0.457,8.2-21.8,0.375,12.7-16.9,0.753
284,Minnesota,31,68,23.4-57.6,0.405,6.2-19.9,0.31,15.1-21.4,0.707
286,St John's,32,67.9,23.7-58.3,0.406,6.4-19.8,0.326,14.2-22.3,0.636
287,Indiana State,32,67.8,22.3-57.0,0.392,6.6-21.7,0.303,16.6-23.9,0.693
287,North Carolina A&T,32,67.8,23.3-57.4,0.406,6.2-19.8,0.314,15.0-21.1,0.711
289,Jacksonville State,31,67.7,23.3-57.8,0.402,7.8-22.9,0.343,13.4-18.3,0.732
289,Rutgers,32,67.7,24.5-58.7,0.418,5.0-15.7,0.32,13.6-20.0,0.68
291,Nicholls,34,67.6,23.1-55.1,0.42,6.2-20.4,0.305,15.1-23.0,0.655
291,Navy,33,67.6,24.4-53.6,0.455,4.3-14.2,0.301,14.5-22.7,0.64
293,Drake,31,67.5,23.7-52.9,0.449,6.9-18.0,0.385,13.1-18.1,0.722
293,Presbyterian College,31,67.5,24.3-56.2,0.433,4.8-16.2,0.295,14.1-19.8,0.711
293,DePaul,31,67.5,24.3-54.5,0.445,5.4-15.8,0.343,13.5-19.9,0.68
296,Morgan State,31,67.4,23.7-59.8,0.396,5.2-17.3,0.301,14.8-21.7,0.685
297,UIC,30,67.3,23.2-59.9,0.388,4.4-14.7,0.302,16.4-26.5,0.619
297,Missouri State,32,67.3,23.5-56.8,0.414,5.3-16.6,0.316,15.0-22.3,0.675
299,Mount St Mary's,33,67.2,23.9-59.6,0.401,6.8-21.6,0.317,12.6-18.2,0.692
299,Santa Clara,31,67.2,23.0-56.1,0.41,7.5-21.7,0.344,13.7-19.1,0.718
299,Illinois State,32,67.2,23.7-57.3,0.414,7.4-22.1,0.337,12.3-18.4,0.668
302,Alcorn State,30,67.1,23.0-56.3,0.409,5.8-18.8,0.309,15.2-22.5,0.677
303,Southeast Missouri State,29,67,24.1-59.0,0.409,5.3-17.7,0.3,13.5-21.1,0.641
304,TCU,33,66.9,22.2-54.8,0.406,5.7-16.9,0.335,16.8-25.0,0.671
304,Chicago State,32,66.9,23.9-62.3,0.383,7.1-23.4,0.304,12.0-17.9,0.67
304,George Mason,32,66.9,23.9-59.0,0.406,5.4-18.4,0.292,13.6-20.3,0.671
307,Alabama,32,66.8,22.5-52.8,0.427,7.8-22.9,0.343,13.9-21.8,0.64
308,Harvard,30,66.7,24.5-55.0,0.445,7.3-18.9,0.387,10.4-17.5,0.596
309,Oklahoma State,32,66.5,22.6-53.4,0.423,6.4-19.5,0.328,14.9-20.4,0.729
310,UT Rio Grande Valley,30,66.4,23.9-57.1,0.418,7.1-21.1,0.335,11.6-17.3,0.671
311,Florida Atlantic,33,66.3,22.8-56.0,0.407,6.9-20.5,0.338,13.8-18.9,0.731
312,Delaware,30,66.2,22.3-55.5,0.402,5.6-17.2,0.325,16.0-23.4,0.685
313,Texas State,31,66,23.5-54.6,0.429,4.8-14.8,0.325,14.3-21.2,0.673
313,Rider,33,66,23.3-54.6,0.427,6.2-19.6,0.315,13.2-19.3,0.682
315,Tulane,34,65.9,23.6-59.4,0.397,6.4-21.1,0.3,12.4-18.3,0.676
316,Penn State,32,65.8,22.9-56.2,0.407,6.6-20.8,0.317,13.5-19.4,0.696
316,Saint Louis,32,65.8,22.6-53.9,0.419,6.2-19.0,0.328,14.3-20.4,0.703
318,Georgia State,30,65.7,23.5-53.2,0.441,5.0-14.5,0.342,13.7-19.9,0.689
318,SIU Edwardsville,28,65.7,22.6-56.8,0.398,5.6-18.5,0.304,14.8-21.0,0.704
320,Quinnipiac,30,65.6,23.3-63.3,0.368,7.6-22.4,0.341,11.5-17.7,0.647
321,Saint Peter's,30,65.5,23.3-55.3,0.422,6.1-18.7,0.327,12.8-19.4,0.658
321,Mississippi Valley State,35,65.5,23.6-60.8,0.388,5.1-16.9,0.303,13.2-19.1,0.693
321,St Francis (BKN),32,65.5,22.2-55.8,0.397,7.5-24.3,0.309,13.6-20.4,0.667
324,Charleston,31,65.4,23.3-55.4,0.42,6.6-19.2,0.346,12.2-18.3,0.667
325,Holy Cross,33,65.3,22.3-54.1,0.413,7.2-21.8,0.327,13.5-19.5,0.693
326,Denver,31,65.2,22.2-46.7,0.476,7.6-19.8,0.383,13.2-17.1,0.77
327,Central Connecticut,29,65.1,23.5-58.7,0.4,5.7-16.5,0.342,12.4-18.3,0.679
327,Bryant,31,65.1,24.4-58.0,0.42,6.4-19.8,0.322,10.0-15.5,0.643
327,Seattle,30,65.1,23.2-54.4,0.426,6.1-17.0,0.357,12.6-18.9,0.667
327,Robert Morris,32,65.1,23.2-55.6,0.416,5.6-20.2,0.276,13.2-19.8,0.667
331,Liberty,32,64.7,23.1-51.4,0.449,8.8-24.2,0.366,9.7-13.6,0.717
332,Niagara,32,64.6,23.0-56.9,0.404,5.2-18.4,0.282,13.5-19.4,0.695
333,Southern Miss,29,64.3,21.1-51.6,0.409,8.9-24.9,0.356,13.3-18.6,0.713
333,Loyola-Chicago,32,64.3,22.7-53.1,0.426,6.1-17.7,0.347,12.9-17.7,0.731
335,Florida A&M,29,64.2,22.2-55.4,0.401,5.8-19.1,0.303,14.0-23.8,0.589
336,La Salle,31,64.1,22.3-55.1,0.404,8.4-24.6,0.34,11.2-16.8,0.669
337,UC Davis,30,63.8,23.2-53.6,0.433,5.5-15.4,0.354,11.9-18.6,0.639
338,Miami (OH),33,63.3,21.8-54.0,0.403,5.4-17.6,0.306,14.3-19.6,0.729
339,South Florida,33,63.2,23.5-56.1,0.418,4.0-14.1,0.286,12.2-18.5,0.66
339,Drexel,31,63.2,21.8-55.5,0.393,5.5-16.7,0.329,14.0-20.5,0.685
341,Savannah State,31,62.4,21.0-52.8,0.398,6.3-20.1,0.315,13.9-21.3,0.654
342,Grambling,31,62.1,21.2-51.8,0.409,4.9-17.9,0.273,14.7-22.8,0.646
343,Delaware State,32,61.9,22.2-56.7,0.391,7.2-21.8,0.33,10.3-16.8,0.616
344,Boston College,32,61.2,22.4-54.7,0.409,7.2-22.3,0.324,9.2-14.1,0.65
345,Binghamton,30,60.9,21.0-53.8,0.39,5.7-20.0,0.285,13.3-19.5,0.682
346,Cleveland State,32,60.8,22.0-54.6,0.403,5.4-16.8,0.324,11.4-16.8,0.678
347,San Diego,30,60.7,21.0-53.8,0.39,6.4-22.4,0.285,12.3-18.6,0.662
348,Prairie View A&M,31,60.4,21.2-55.7,0.38,4.1-15.1,0.272,13.9-20.3,0.686
349,American,31,57.6,20.4-48.0,0.424,6.3-18.5,0.341,10.6-15.2,0.696
350,Arkansas-Pine Bluff,33,56.6,20.4-52.2,0.391,6.1-20.2,0.303,9.6-15.7,0.611
351,Bradley,32,56,18.9-49.9,0.379,5.2-18.4,0.28,13.0-19.7,0.661
